epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,58047.8,0.72203,0.98617,1.0473,0.86781,0,0.35303,0.23176,0.19555,0.10734,0.26112,0.18343,0.11437,0.0322,1.67868,1.80387,2.00588,0.79739,0,0.0002674,0.0002674,0.0002674
76,58791.2,0.72193,0.98889,1.04694,0.86812,0,0.34554,0.23203,0.19507,0.10695,0.26637,0.18156,0.1135,0.03218,1.67892,1.8035,2.00806,0.79733,0,0.0002575,0.0002575,0.0002575
77,59528.2,0.72144,0.98417,1.04526,0.86864,0,0.35014,0.23392,0.19543,0.10725,0.25713,0.18464,0.11294,0.032,1.68024,1.80371,2.00848,0.7974,0,0.0002476,0.0002476,0.0002476
78,60279.3,0.71905,0.98307,1.04231,0.86816,0,0.34251,0.23522,0.19547,0.10733,0.25723,0.18833,0.11435,0.03196,1.68283,1.80645,2.00845,0.79767,0,0.0002377,0.0002377,0.0002377
79,61017.5,0.72006,0.98448,1.03991,0.86815,0,0.3422,0.23671,0.19507,0.10689,0.25614,0.1876,0.11403,0.03189,1.68244,1.8037,2.01084,0.79761,0,0.0002278,0.0002278,0.0002278
80,61755.7,0.71798,0.98309,1.03615,0.86827,0,0.32835,0.23949,0.19361,0.10646,0.2568,0.18677,0.1135,0.03174,1.67856,1.80504,2.01137,0.79739,0,0.0002179,0.0002179,0.0002179
81,62491.1,0.71799,0.9814,1.03558,0.86674,0,0.31668,0.24319,0.19385,0.10618,0.23999,0.19368,0.11186,0.03182,1.67694,1.80447,2.00796,0.79722,0,0.000208,0.000208,0.000208
82,63230.8,0.71568,0.97735,1.03248,0.86755,0,0.32329,0.24075,0.19382,0.1062,0.23752,0.19128,0.11342,0.03209,1.67453,1.80457,2.00607,0.79713,0,0.0001981,0.0001981,0.0001981
83,63966,0.71764,0.97959,1.03083,0.86754,0,0.32097,0.24225,0.19407,0.10622,0.24093,0.19236,0.11458,0.03225,1.67205,1.80427,2.00551,0.79698,0,0.0001882,0.0001882,0.0001882
84,64701.3,0.71567,0.97679,1.02618,0.86739,0,0.3237,0.24118,0.19402,0.10633,0.24004,0.19319,0.11463,0.03231,1.66706,1.79958,2.00396,0.79665,0,0.0001783,0.0001783,0.0001783
85,65445.8,0.71528,0.97731,1.02584,0.86623,0,0.30377,0.2547,0.19359,0.10606,0.24438,0.19134,0.1148,0.03248,1.66628,1.79978,2.0033,0.79652,0,0.0001684,0.0001684,0.0001684
86,66192.5,0.71538,0.97673,1.0236,0.86651,0,0.31085,0.25189,0.19308,0.10572,0.23992,0.19177,0.11273,0.03226,1.66853,1.79879,2.00269,0.79667,0,0.0001585,0.0001585,0.0001585
87,66936.4,0.71455,0.97483,1.02179,0.86642,0,0.30228,0.25471,0.19336,0.10549,0.24291,0.18888,0.11217,0.03191,1.67292,1.79728,2.00575,0.79696,0,0.0001486,0.0001486,0.0001486
88,67679.2,0.71373,0.97492,1.01815,0.86655,0,0.32867,0.2427,0.19397,0.1058,0.26434,0.17819,0.1123,0.03214,1.67147,1.79427,2.00207,0.79686,0,0.0001387,0.0001387,0.0001387
89,68416.5,0.71471,0.97617,1.01905,0.86696,0,0.31998,0.24522,0.19371,0.10605,0.26869,0.17637,0.11303,0.03239,1.66866,1.79283,2.00344,0.7968,0,0.0001288,0.0001288,0.0001288
90,69153.9,0.71421,0.97442,1.01622,0.86648,0,0.3241,0.24241,0.19407,0.1062,0.26773,0.17504,0.11322,0.0322,1.66711,1.7887,2.00033,0.79666,0,0.0001189,0.0001189,0.0001189
91,69876.9,0.69431,0.96428,0.94023,0.86452,0,0.33039,0.24293,0.19449,0.10602,0.26552,0.17518,0.11329,0.03194,1.66879,1.79208,1.99626,0.79687,0,0.000109,0.000109,0.000109
92,70595.9,0.69091,0.96011,0.92847,0.8634,0,0.3862,0.24303,0.19395,0.1058,0.32389,0.17289,0.11098,0.03165,1.67675,1.7935,2.00086,0.79728,0,9.91e-05,9.91e-05,9.91e-05
93,71310.2,0.68913,0.95438,0.92146,0.8624,0,0.39475,0.24196,0.19469,0.10575,0.3256,0.1753,0.11146,0.03193,1.68036,1.7963,1.99979,0.79759,0,8.92e-05,8.92e-05,8.92e-05
